INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n1', '3')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n1', '4')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n1', '5')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n2', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n2', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n2', '3')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n2', '4')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n3', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n3', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n3', '3')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n4', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n4', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n4', '3')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n5', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 'n5', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 's1', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 's1', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 's1', '3')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 's2', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 's2', '2')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 's3', '1')
INFO:root:got a match in scheme/textbooks/camess7/core/contents :-] ('c7', 's3', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'A1', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'A1', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'A2', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'A2', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'A2', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'A3', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'A3', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'A3', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'A4', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'A4', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM1', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM1', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM1', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM2', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM2', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM2', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM2', '4')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM3', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM3', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM3', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM4', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM4', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM4', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'GM4', '4')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N1', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N1', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N1', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N2', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N2', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N2', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N2', '4')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N3', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N3', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N3', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N3', '4')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N4', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N4', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N4', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'N4', '4')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'S1', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'S1', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'S1', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'S2', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'S2', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'S2', '3')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'S2', '4')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'S3', '1')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'S3', '2')
INFO:root:got a match in scheme/textbooks/camess8/Core/Contents :-] ('C8', 'S3', '3')
INFO:root:got a match in scheme/textbooks/camess8/Support/Contents :-] ('S8', 'A1', '1')
INFO:root:got a match in scheme/textbooks/camess8/Support/Contents :-] ('S8', 'A1', '2')
INFO:root:got a match in scheme/textbooks/camess8/Support/Contents :-] ('S8', 'A2', '1')
INFO:root:got a match in scheme/textbooks/camess8/Support/Contents :-] ('S8', 'A2', '2')
